Date,ซื้อตั๋วเงิน,ซื้อเงินโอน,อัตราขาย
2021-03-11,30.3743,30.4712,30.8116
2021-03-12,30.3861,30.4784,30.7967
2021-03-13,30.410366666666665,30.502866666666666,30.828200000000002
2021-03-14,30.434633333333334,30.527333333333335,30.8597
2021-03-15,30.4589,30.5518,30.8912
2021-03-16,30.4683,30.5618,30.8995
2021-03-17,30.5271,30.6203,30.9601
2021-03-18,30.4836,30.5793,30.9042
2021-03-19,30.6355,30.732,31.062
2021-03-20,30.6357,30.732366666666667,31.064233333333334
2021-03-21,30.6359,30.732733333333332,31.066466666666667
2021-03-22,30.6361,30.7331,31.0687
2021-03-23,30.6929,30.7881,31.1158
2021-03-24,30.7521,30.8471,31.1818
2021-03-25,30.8086,30.9043,31.2532
2021-03-26,30.8933,30.9884,31.3321
2021-03-27,30.904366666666668,30.998633333333334,31.338733333333334
2021-03-28,30.915433333333333,31.008866666666666,31.345366666666667
2021-03-29,30.9265,31.0191,31.352
2021-03-30,30.9652,31.0602,31.4003
2021-03-31,31.0817,31.1735,31.5052
2021-04-01,31.0111,31.1066,31.4333
2021-04-02,30.9802,31.0751,31.4112
2021-04-03,31.0112,31.1063,31.443833333333334
2021-04-04,31.0422,31.1375,31.476466666666667
2021-04-05,31.0732,31.1687,31.5091
2021-04-06,31.05595,31.1506,31.490949999999998
2021-04-07,31.0387,31.1325,31.4728
2021-04-08,31.1683,31.2645,31.6112
2021-04-09,31.1529,31.2507,31.5845
2021-04-10,31.19343333333333,31.289666666666665,31.624333333333333
2021-04-11,31.233966666666667,31.328633333333332,31.664166666666667
2021-04-12,31.2745,31.3676,31.704
2021-04-13,31.20565,31.298975,31.634225
2021-04-14,31.1368,31.23035,31.56445
2021-04-15,31.06795,31.161725,31.494675
2021-04-16,30.9991,31.0931,31.4249
2021-04-17,30.9914,31.0856,31.4177
2021-04-18,30.9837,31.0781,31.410500000000003
2021-04-19,30.976,31.0706,31.4033
2021-04-20,30.9504,31.0458,31.3961
2021-04-21,31.0402,31.1363,31.4802
2021-04-22,31.054,31.1475,31.4964
2021-04-23,31.1345,31.2313,31.5714
